"Catégorie
 de contrôle","Organismes contrôlés","Modalités de contrôle","Dépt.","Ville","Pays","Activité
 de l'organisme",""
"RGPD","CENTRE HOSPITALIER RÉGIONAL DE MARSEILLE
 (ASSISTANCE PUBLIQUE - HOPITAUX MARSEILLE)","sur place","13","MARSEILLE","FRANCE","Santé ",""
"RGPD","MEDI-SERVICES","sur place","95","FRANCONVILLE","FRANCE","Santé ",""
"RGPD","FACEBOOK
 (META PLATFORMS IRELAND LIMITED)","en ligne","","DUBLIN","IRELAND","Commerce",""
"RGPD","RECONQUÊTE!","sur audition","75","PARIS","FRANCE","Activités politiques",""
"RGPD","RECONQUÊTE!","sur audition","75","PARIS","FRANCE","Activités politiques",""
"RGPD","RECONQUÊTE!","sur audition","76","PARIS","FRANCE","Activités politiques",""
"RGPD","MAUD DERMO ESTHETIC AIX","sur place","13","AIX-EN-PROVENCE","FRANCE","Commerce",""
"RGPD","PHARMACIE BODART","sur place","59","LILLE","FRANCE","Santé ",""
"RGPD","GPF CLAEYS","sur place","59","LILLE","FRANCE","Commerce",""
"RGPD","GRANDE PHARMACIE DE WAZEMMES","sur place","60","LILLE","FRANCE","Santé ",""
"RGPD","REWORLD MEDIA","sur place","92","BOULOGNE-BILLANCOURT","FRANCE","Commerce",""
"RGPD","REWORLD MEDIA","sur place","92","BOULOGNE-BILLANCOURT","FRANCE","Commerce",""
"RGPD","APLIM","sur place","73","SAINT-JEOIRE-PRIEURÉ","FRANCE","Commerce",""
"RGPD","VIDEO PLUS","sur place","92","COURBEVOIE","FRANCE","Commerce",""
"RGPD","TWITCH INTERACTIVE","sur pièces","75","PARIS","FRANCE","Jeux",""
"RGPD","CRÉDIT LYONNAIS","sur pièces","75","PARIS","FRANCE","Banque",""
"RGPD","LAONDIS","sur place","02","CHAMBRY","FRANCE","Commerce",""
"RGPD","LAONDIS","en ligne","02","CHAMBRY","FRANCE","Commerce",""
"RGPD","FRET VITE","sur place","38","NOYAREY","FRANCE","Transports",""
"RGPD","BANQUE COURTOIS","sur place","31","TOULOUSE","FRANCE","Banque",""
"RGPD","BRODERIE DE LOMAGNE","sur place","33","AMBÈS","FRANCE","Commerce",""
"RGPD","ECONOCOM FRANCE","sur place","92","PUTEAUX","FRANCE","Commerce",""
"RGPD","IDCAPT","sur place","84","AVIGNON","FRANCE","Commerce",""
"RGPD","SUEZ EAU FRANCE","sur pièces","75","PARIS","FRANCE","Commerce",""
"RGPD","TELEPERFORMANCE","sur audition","75","PARIS","FRANCE","Commerce",""
"RGPD","TELEPERFORMANCE","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","TELEPERFORMANCE","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","SOCREDIT","en ligne","93","TREMBLAY-EN-FRANCE","FRANCE","Banque",""
"RGPD","SOCREDIT","sur place","93","TREMBLAY-EN-FRANCE","FRANCE","Banque",""
"RGPD","MEDIA SPECK","sur audition","95","SARCELLES","FRANCE","Commerce",""
"RGPD","ACCOMPAGNIA'DOM","sur place","06","NICE","FRANCE","Social",""
"RGPD","AD SENIORS CENTRALE
ADSHNICE","sur place","06","NICE","FRANCE","Social",""
"RGPD","LE HUFFINGTON POST","en ligne","75","PARIS","FRANCE","Presse",""
"RGPD","LE HUFFINGTON POST","en ligne","75","PARIS","FRANCE","Presse",""
"RGPD","COMMUNE DE CHÂTEAUDUN","sur place","28","CHÂTEAUDUN","FRANCE","Collectivités territoriales",""
"RGPD","TWELVE APP","sur pièces","75","PARIS","FRANCE","Télécommunications",""
"RGPD","WEWARD","en ligne","75","PARIS","FRANCE","Commerce",""
