"Type de
contrôle","Modalité de contrôle","Organismes","Dép.","Lieu","Secteur d'activité"
"RGPD/
DIRECTIVE police justice","sur pièces","NEURONES ","92","NANTERRE","Commerce"
"RGPD/
DIRECTIVE police justice","sur pièces","OVH ","59","ROUBAIX","Commerce"
"RGPD/
DIRECTIVE police justice","en ligne","IBERIMO.COM","75","PARIS","Tourisme"
"RGPD/
DIRECTIVE police justice","en ligne","SOCIETE D'AMENAGEMENT TOURISTIQUE D'EXPLOITATION DE LA CLUSAZ","75","PARIS","Commerce"
"RGPD/
DIRECTIVE police justice","en ligne","SOCIETE D'EXPLOITATIOIN DES TELEPHERIQUES TARANTAISE-MAURIENNE","75","PARIS","Commerce"
"RGPD/
DIRECTIVE police justice","sur place","ADS  GROUP","38","VAULX MILIEU","Travail"
"RGPD/
DIRECTIVE police justice","sur place","ADVERIS","75","PARIS","Commerce"
"RGPD/
DIRECTIVE police justice","sur place","AFS2R","69","LYON","Collectivités territoriales"
"RGPD/
DIRECTIVE police justice","sur place","AGENCE NATIONALE DE TRAITEMENT AUTOMATISE DES INFRACTIONS","35","RENNES","Régalien"
"RGPD/
DIRECTIVE police justice","sur place","AGENCE NATIONALE DE TRAITEMENT AUTOMATISE DES INFRACTIONS","35","RENNES","Régalien"
"RGPD/
DIRECTIVE police justice","sur place","ASSESSFIRST","75","PARIS","Travail"
"RGPD/
DIRECTIVE police justice","sur place","ASSOCIATION ITHAQUE","67","MOLSHEIM","Santé/social"
"RGPD/
DIRECTIVE police justice","sur place","ASSOCIATION ITHAQUE","67","STRASBOURG","Santé/social"
"RGPD/
DIRECTIVE police justice","sur place","ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE","34","MONTPELLIER","Santé "
"RGPD/
DIRECTIVE police justice","sur place","BARTHEL FRERES","57","LE BAN-SAINT-MARTIN","Commerce"
"RGPD/
DIRECTIVE police justice","sur place","BIEN A LA MAISON","92","BOULOGNE-BILLANCOURT","Santé/social"
"RGPD/
DIRECTIVE police justice","sur place","BRIGADE TERRITORIALE AUTONOME D'OUISTREHAM","14","OUISTREHAM","Police/justice/sécurité"
"RGPD/
DIRECTIVE police justice","sur place","BUREAU CENTRAL DU RENSEIGNEMENT PENITENTIAIRE","75","PARIS","Régalien"
"RGPD/
DIRECTIVE police justice","sur place","CAISSE D ALLOCATIONS FAMILIALES DE CHARENTE","16","ANGOULEME","Social"
"RGPD/
DIRECTIVE police justice","sur place","CAISSE NATIONALE D ALLOCATIONS FAMILIALES","75","PARIS","Social"
"RGPD/
DIRECTIVE police justice","sur place","CAISSE NATIONALE D ALLOCATIONS FAMILIALES","75","PARIS","Social"
"RGPD/
DIRECTIVE police justice","sur place","CENTRE NATIONAL DE TRAITEMENT","35","RENNES","Régalien"
"RGPD/
DIRECTIVE police justice","sur place","CLUSTREE","75","PARIS","Travail"
"RGPD/
DIRECTIVE police justice","sur place","COLLEGE SAINT JOSEPH","62","ARRAS","Education"
"RGPD/
DIRECTIVE police justice","sur place","COMMUNE DE PAU","64","PAU","Collectivités territoriales"
"RGPD/
DIRECTIVE police justice","sur place","COMMUNE DE SAINT-DENIS","93","SAINT-DENIS","Collectivités territoriales"
"RGPD/
DIRECTIVE police justice","sur place","COMMUNE DE SAINT-MAUR-DES-FOSSES","94","SAINT-MAUR-DES-FOSSES","Collectivités territoriales"
"RGPD/
DIRECTIVE police justice","sur place","DEVEDIS","34","BEZIERS","Commerce"
"RGPD/
DIRECTIVE police justice","sur place","DGSI","92","LEVALLOIS-PERRET","Régalien"
"RGPD/
DIRECTIVE police justice","sur place","DIRECTION DE LA SÉCURITÉ DE PROXIMITÉ DE L’AGGLOMÉRATION PARISIENNE","75","PARIS","Régalien"
"RGPD/
DIRECTIVE police justice","sur place","GROUPE SOS SOLIDARITE","75","PARIS","Social"
"RGPD/
DIRECTIVE police justice","sur place","KALHYGE","75","PARIS","Commerce"
"RGPD/
DIRECTIVE police justice","sur place","LABORATOIRE EURABIO","59","LILLE","Santé "
"RGPD/
DIRECTIVE police justice","sur place","MAIRIE DE CRETEIL","94","CRETEIL","Collectivités territoriales"
"RGPD/
DIRECTIVE police justice","sur place","MAIRIE DE PARIS","75","PARIS","Collectivités territoriales"
"RGPD/
DIRECTIVE police justice","sur place","MAIRIE DE PUTEAUX","92","PUTEAUX","Collectivités territoriales"
"RGPD/
DIRECTIVE police justice","sur place","MUTUELLE DE L'ARMEE DE L'AIR","92","MONTROUGE","Assurances"
"RGPD/
DIRECTIVE police justice","sur place","NORD BIOLOGIE","59","RONCHIN","Santé/social"
"RGPD/
DIRECTIVE police justice","sur place","ORGANISATION FUNERAIRE JACQUES LEFEVRE","59","LAMBERSART","Commerce"
"RGPD/
DIRECTIVE police justice","sur place","PISCINE KELLER","75","PARIS","Sport"
"RGPD/
DIRECTIVE police justice","sur place","PREFECTURE DE CRETEIL","94","CRETEIL","Collectivités territoriales"
"RGPD/
DIRECTIVE police justice","sur place","PREFECTURE DU NORD","59","LILLE","Régalien"
